Algoritmo,Tamanho,NumRotinas,Processadores,Tempo
insertsort,1000,1,1,0.000187
insertsort,1000,1,1,0.000002
insertsort,1000,1,2,0.000002
insertsort,1000,1,4,0.000002
insertsort,1000,2,1,0.000008
insertsort,1000,2,2,0.000005
insertsort,1000,2,4,0.000005
insertsort,1000,4,1,0.000006
insertsort,1000,4,2,0.000006
insertsort,1000,4,4,0.000006
insertsort,10000,1,1,0.018655
insertsort,10000,1,1,0.000015
insertsort,10000,1,2,0.000015
insertsort,10000,1,4,0.000015
insertsort,10000,2,1,0.000034
insertsort,10000,2,2,0.000032
insertsort,10000,2,4,0.000032
insertsort,10000,4,1,0.000042
insertsort,10000,4,2,0.000039
insertsort,10000,4,4,0.000038
insertsort,50000,1,1,0.452299
insertsort,50000,1,1,0.000072
insertsort,50000,1,2,0.000073
insertsort,50000,1,4,0.000073
insertsort,50000,2,1,0.000148
insertsort,50000,2,2,0.000119
insertsort,50000,2,4,0.000120
insertsort,50000,4,1,0.000202
insertsort,50000,4,2,0.000185
insertsort,50000,4,4,0.000166
